id,name,price,url,rating,review_count,brand_name,suitable_type,ingredients,sentiment,first_sentence
635,Charcoal Deodorant Black Oak & Bourbon,$25.00,https://credobeauty.com/products/the-takesumi-detox-charcoal-deodorant-black-oak-bourbon,No rating,No reviews,Kaia Naturals,['all skin'],"['moisture', 'alcohol', 'repair', 'exfoliating']",,
636,The Underarm Bar,$25.00,https://credobeauty.com/products/underarm-bar,4.7,149,Kaia Naturals,[],"['moisture', 'repair', 'fragrance']",,
637,Charcoal Deodorant Mandarin Pomelo,$25.00,https://credobeauty.com/products/juicy-bamboo-the-takesumi-detox-charcoal-deodorant-juicy-bamboo,4.4,34,Kaia Naturals,['all skin'],"['moisture', 'alcohol', 'repair', 'exfoliating']",40% positive,"This is by far, my favorite deodorant I have ever used."
638,Charcoal Deodorant Cold Pressed Rose,$25.00,https://credobeauty.com/products/juicy-bamboo-the-takesumi-detox-charcoal-deodorant-cold-pressed-rose,4.2,48,Kaia Naturals,['all skin'],"['moisture', 'alcohol', 'repair', 'exfoliating']",100% positive,"The rose scent is quite lovely and smells natural, like sniffing a wild rose bush."
639,Charcoal Deodorant Lime Mint,$25.00,https://credobeauty.com/products/juicy-bamboo-the-takesumi-detox-charcoal-deodorant-lime-mint,4.2,33,Kaia Naturals,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'alcohol', 'repair', 'exfoliating']",60% positive,The only aluminum free deodorant that keeps my teenage boy from smelling like BO fresh.
640,Rescue Mission Whipped Moisturizer,$22.00,https://credobeauty.com/products/rescue-mission-whipped-moisturizer,No rating,No reviews,Kinfield,['all skin'],"['moisture', 'alcohol', 'repair']",,
641,Baseline PH-Balancing Deodorant,From $18,https://credobeauty.com/products/baseline-ph-balancing-deodorant,No rating,30,Kinfield,"['sensitive skin', 'all skin']",['sun protection'],40% positive,Great sensitive skin deodorant that works.
642,All Star Anti-Chafe Stick,$16.00,https://credobeauty.com/products/all-star-anti-chafe-stick,4.5,17,Kinfield,"['sensitive skin', 'all skin']","['moisture', 'alcohol', 'antioxidants', 'sun protection']",80% positive,Very small amount works well.
643,Liplock SPF 15 Lip Balm,$16.00,https://credobeauty.com/products/liplock-spf-15-lip-balm,4.1,61,Kinfield,['all skin'],"['moisture', 'antioxidants', 'sun protection']",100% positive,"The slight strawberry scent is lovely, the texture is comfortable and moisturizing with a nice."
644,Lip Rescue Healing Balm,$16.00,https://credobeauty.com/products/lip-rescue-healing-balm,No rating,No reviews,Kinfield,['all skin'],"['moisture', 'antioxidants', 'sun protection']",60% positive,"Grainy and barely useable Scent of the mint is nice, but this."
645,Cloud Cover Body SPF 35,From $28,https://credobeauty.com/products/cloud-cover-body-spf-35,4.3,33,Kinfield,['all skin'],"['moisture', 'repair', 'fragrance']",60% positive,"The SPF in this is great, but after applying this sunscreen to my full body."
646,Relief Balm Anti-Itch Remedy,From $16,https://credobeauty.com/products/relief-balm-anti-itch-remedy,4.7,62,Kinfield,['all skin'],"['moisture', 'fragrance', 'sun protection']",,
647,Sunday Spray Cooling Aloe Mist,$22.00,https://credobeauty.com/products/sunday-spray-cooling-aloe-mist,4.8,28,Kinfield,['all skin'],['moisture'],,
648,Sunglow SPF 35 Luminizing Sunscreen,$28.00,https://credobeauty.com/products/sunglow-spf-35-luminizing-sunscreen,4.2,52,Kinfield,['all skin'],"['antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance']",,
649,Golden Hour DEET-Free Repellent,From $22,https://credobeauty.com/products/golden-hour-deet-free-repellent,4.5,218,Kinfield,['all skin'],['alcohol'],100% positive,The ingredients are clean so I would recommend it.
650,Daily Dew SPF 35,$26.00,https://credobeauty.com/products/daily-dew-spf-35,No rating,98,Kinfield,['all skin'],"['moisture', 'fragrance', 'antioxidants', 'sun protection']",60% positive,This has quickly become my favorite everyday facial sunscreen.
651,FIRMING CREAM Super Rich Ceramide + Collagen Cream,$45.00,https://credobeauty.com/products/firming-cream-super-rich-ceramide-collagen-cream,4.9,38,Kinship,"['sensitive skin', 'all skin']","['repair', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance']",80% positive,This Kinship is the best.
652,Dreamwave 2% Bio-Retinoid Complex Overnight Serum,$48.00,https://credobeauty.com/products/dreamwave-2-bio-retinoid-complex-overnight-serum,No rating,89,Kinship,"['sensitive skin', 'all skin']","['anti-aging', 'antioxidants', 'moisture', 'fragrance', 'exfoliating']",60% positive,This is my go to night serum.
653,Brightwave Vitamin C Face & Eye Duo,$62.00,https://credobeauty.com/products/brightwave-vitamin-c-face-eye-duo,4.6,13,Kinship,['all skin'],"['moisture', 'alcohol', 'fragrance', 'exfoliating', 'brightening', 'anti-aging', 'antioxidants', 'sun protection']",100% positive,Love the Brightwave eye cream.
654,Brightwave 10% Vitamin C + Peptide Brightening Serum,$45.00,https://credobeauty.com/products/brightwave-10-vitamin-c-peptide-brightening-serum,4.7,166,Kinship,['all skin'],"['anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance', 'brightening']",,
655,Self Smooth 10% Glycolic Resurfacing Serum,$30.00,https://credobeauty.com/products/self-smooth-10-glycolic-resurfacing-serum,No rating,No reviews,Kinship,['all skin'],"['repair', 'antioxidants', 'moisture', 'exfoliating']",,
656,Self Reflect Sport Sunscreen Broad Spectrum SPF 60,$30.00,https://credobeauty.com/products/self-reflect-sport-sunscreen-broad-spectrum-spf-60,4.4,62,Kinship,['all skin'],"['repair', 'antioxidants', 'sun protection', 'moisture']",,
657,Brightwave Vitamin C Brightening + Energizing Eye Cream,$40.00,https://credobeauty.com/products/brightwave-energizing-brightening-eye-cream,4.4,154,Kinship,"['dry skin', 'sensitive skin', 'aging skin', 'all skin']","['antioxidants', 'moisture', 'alcohol', 'exfoliating', 'brightening']",60% positive,"It is thick and light at the same time, making my under eye lines look hyd."
658,Supermelt Hyaluronic Plumping Lip Treatment,$20.00,https://credobeauty.com/products/supermelt-vegan-lip-jelly-mask,No rating,No reviews,Kinship,"['dry skin', 'all skin']","['moisture', 'repair', 'sun protection', 'exfoliating']",,
659,Kinskin Ceramide Barrier Repair Oil,$38.00,https://credobeauty.com/products/kinskin-oat-ceramide-relief-oil,4.7,59,Kinship,"['dry skin', 'sensitive skin', 'all skin']","['antioxidants', 'sun protection', 'moisture', 'brightening']",80% positive,"The apricot smell is lovely, and makes my skin feel very healthy and glow."
660,Mint Mud Deep Pore Detox Mask,$26.00,https://credobeauty.com/products/mint-mud-deep-pore-detox-mask,4.8,68,Kinship,"['oily skin', 'all skin']","['repair', 'antioxidants', 'moisture', 'fragrance', 'exfoliating']",,
661,Self Reflect SPF 32 Probiotic Moisturizing Sunscreen,From $32,https://credobeauty.com/products/self-reflect-spf-32-probiotic-moisturizing-zinc-oxide-sunscreen,No rating,No reviews,Kinship,"['sensitive skin', 'all skin']","['antioxidants', 'sun protection', 'moisture', 'alcohol']",,
662,Supermello Hyaluronic Gel Cream Moisturizer,From $38,https://credobeauty.com/products/supermello-hydrating-gel-cream-moisturizer,No rating,No reviews,Kinship,"['oily skin', 'sensitive skin', 'all skin']","['antioxidants', 'sun protection', 'moisture', 'brightening']",,
663,Pimple Potion 2% BHA + Retinal Acne Treatment,$22.00,https://credobeauty.com/products/pimple-potion-retinal-salicylic-acne-treatment,4.3,186,Kinship,['all skin'],"['anti-aging', 'antioxidants', 'moisture', 'alcohol', 'exfoliating']",,
664,Naked Papaya Gentle Enzyme Milky Cleanser,$24.00,https://credobeauty.com/products/naked-papaya-gentle-enzyme-cleanser,4.6,164,Kinship,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'antioxidants', 'sun protection']",,
665,The Beautiful Tint,$31.50,https://credobeauty.com/products/the-beautiful-tint,No rating,No reviews,Kjaer Weis,"['oily skin', 'normal skin', 'sensitive skin', 'all skin']","['antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance']",,
666,Red Edition Refillable Compact,From $5,https://credobeauty.com/products/red-edition-refillable-compact,4.7,23,Kjaer Weis,[],"['antioxidants', 'sun protection']",,
667,Iconic Invisible Touch Foundation Cap,$21.00,https://credobeauty.com/products/iconic-invisible-touch-foundation-cap,4,3,Kjaer Weis,[],[],67% positive,The cap makes my beautiful foundation bottle sitting on my vanity look like the art that it.
668,Invisible Touch Liquid Foundation,From $24,https://credobeauty.com/products/invisible-touch-liquid-foundation,No rating,61,Kjaer Weis,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'fragrance', 'antioxidants', 'sun protection']",80% positive,Lightweight and melts into skin but creates a nice corrective balance I will buy this again.
669,Refillable Cream Foundation,From $23,https://credobeauty.com/products/kjaer-weis-cream-foundation-refill,No rating,72,Kjaer Weis,['all skin'],['sun protection'],80% positive,I love this foundation.
670,Essentialist,$80.00,https://credobeauty.com/products/essentialist,5,7,KLUR,['dry skin'],"['repair', 'antioxidants', 'moisture', 'alcohol', 'brightening']",100% positive,"M 47, in perimenopause, and my very dry skin has been a."
671,Sculpture + A Overnight Enrichment Cream,$150.00,https://credobeauty.com/products/sculpture-a-overnight-enrichment-cream,No rating,25,KLUR,['all skin'],"['anti-aging', 'antioxidants', 'moisture', 'alcohol', 'exfoliating']",,
672,Unseasonal Kind Face Oil,$90.00,https://credobeauty.com/products/unseasonal-kind-face-oil,4.8,32,KLUR,['all skin'],"['moisture', 'antioxidants', 'brightening']",,
673,Immersion Serum Concentrate,$70.00,https://credobeauty.com/products/immersion-serum-concentrate,4.5,43,KLUR,['all skin'],"['repair', 'anti-aging', 'antioxidants', 'brightening', 'moisture', 'exfoliating']",80% positive,This makes a big difference for dry skin.
674,Elements of Comfort Body Oil,$70.00,https://credobeauty.com/products/elements-of-comfort-body-oil,4.6,19,KLUR,['all skin'],"['moisture', 'antioxidants']",80% positive,"My husband left me with two kids for one year, All effort to bring him back."
675,Supreme Seed Purification Mask,$60.00,https://credobeauty.com/products/supreme-seed-purification-mask,4.7,63,KLUR,['all skin'],"['antioxidants', 'sun protection', 'moisture', 'alcohol', 'exfoliating']",,
676,Stellar Restoration Retinol Serum,$110.00,https://credobeauty.com/products/stellar-restoration-retinol-serum,No rating,No reviews,KLUR,['oily skin'],"['anti-aging', 'antioxidants', 'brightening', 'moisture', 'alcohol', 'exfoliating']",,
677,Gentle Matter Cleanser,$40.00,https://credobeauty.com/products/gentle-matter-cleanser,4.7,No reviews,KLUR,['all skin'],"['moisture', 'anti-aging', 'antioxidants']",60% positive,Great Gel Cleanser.
678,Symmetry Fluid Anti-Pollution Serum,$70.00,https://credobeauty.com/products/symmerty-fluid-anti-pollution-serum,4.8,27,KLUR,['all skin'],"['antioxidants', 'sun protection', 'moisture', 'brightening']",,
679,Skin Soil Exfoliating Grain,$40.00,https://credobeauty.com/products/skin-soil-exfoliating-grain,4.8,14,KLUR,"['sensitive skin', 'all skin']",['moisture'],,
680,Brilliant Light Multi-Correctional Repair Serum,$88.00,https://credobeauty.com/products/brilliant-light-multi-correctional-repair-serum,4.8,21,KLUR,"['dry skin', 'all skin']","['repair', 'antioxidants', 'moisture', 'brightening']",60% positive,Best Vitamin C serum ve used.
681,Bottom Up Foot Cream,$45.00,https://credobeauty.com/products/bottom-up-foot-cream,No rating,No reviews,KOBA Skincare,['all skin'],"['repair', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance']",,
682,Get Whipped Body Balm,$95.00,https://credobeauty.com/products/get-whipped-body-balm,No rating,No reviews,KOBA Skincare,['dry skin'],"['anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance', 'exfoliating']",,
683,Gimme Glow Dry Brush,$25.00,https://credobeauty.com/products/gimme-glow-dry-brush,No rating,No reviews,KOBA Skincare,['all skin'],[],,
684,Gold Drip Nourishing Body & Hair Oil,$70.00,https://credobeauty.com/products/gold-drip-nourishing-body-hair-oil,No rating,No reviews,KOBA Skincare,['all skin'],"['fragrance', 'antioxidants', 'sun protection']",,
685,Milk It Body Lotion,$55.00,https://credobeauty.com/products/milk-it-body-lotion,No rating,No reviews,KOBA Skincare,['all skin'],"['repair', 'moisture', 'alcohol', 'fragrance', 'exfoliating', 'anti-aging', 'antioxidants', 'sun protection']",,
686,Soak Me Up Soap Bar,$25.00,https://credobeauty.com/products/soak-me-up-soap-bar,No rating,No reviews,KOBA Skincare,['all skin'],"['moisture', 'fragrance', 'sun protection']",,
687,Touch Me Hand Cream,$35.00,https://credobeauty.com/products/touch-me-hand-cream,No rating,No reviews,KOBA Skincare,[],"['anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance', 'exfoliating']",,
688,Noni Glow Face Oil,$74.00,https://credobeauty.com/products/noni-glow-face-oil,4.9,335,KORA Organics,['all skin'],"['fragrance', 'antioxidants', 'sun protection']",,
689,Noni Radiant Eye Oil,$44.00,https://credobeauty.com/products/noni-radiant-eye-oil,4.6,179,KORA Organics,"['dry skin', 'all skin']","['moisture', 'antioxidants', 'sun protection']",,
690,Turmeric Brightening & Exfoliating Mask,$54.00,https://credobeauty.com/products/turmeric-brightening-exfoliating-mask,4.9,331,KORA Organics,['all skin'],"['antioxidants', 'sun protection', 'brightening', 'moisture', 'alcohol', 'fragrance', 'exfoliating']",,
691,Turmeric Glow Foaming Cleanser,$46.00,https://credobeauty.com/products/turmeric-glow-foaming-cleanser,No rating,No reviews,KORA Organics,['all skin'],"['repair', 'antioxidants', 'sun protection', 'moisture', 'fragrance']",,
692,Revealer Super Creamy + Brightening Concealer,$30.00,https://credobeauty.com/products/revealer-super-creamy-brightening-concealer,No rating,No reviews,Kosas,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'repair', 'anti-aging', 'antioxidants']",,
693,Air Brow Tinted Volumizing Treatment Gel,$24.00,https://credobeauty.com/products/air-brow-tinted-volumizing-treatment-gel,4.7,361,Kosas,['all skin'],"['repair', 'anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'exfoliating']",60% positive,Great reliable product.
694,LipFuel Hyaluronic Lip Balm,$18.00,https://credobeauty.com/products/lipfuel-hyaluronic-lip-balm,4.6,251,Kosas,['all skin'],"['moisture', 'fragrance', 'antioxidants', 'sun protection']",80% positive,The best one I have tried.
695,Cloud Set Baked Setting & Smoothing Powder,$36.00,https://credobeauty.com/products/cloud-set-baked-setting-smoothing-powder,4.5,191,Kosas,['all skin'],"['moisture', 'antioxidants', 'sun protection']",80% positive,This is my third compact of cloud set and wont be my last.
696,Brow Pop Dual-Action Defining Pencil,$24.00,https://credobeauty.com/products/brow-pop-dual-action-defining-pencil,No rating,167,Kosas,[],"['moisture', 'repair', 'antioxidants']",60% positive,This is my go to brow pencil these days.
697,Good Body Skin AHA + Enzyme Exfoliating Body Wash,$22.00,https://credobeauty.com/products/good-body-skin-aha-enzyme-exfoliating-body-wash,No rating,99,Kosas,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'repair', 'fragrance', 'exfoliating']",60% positive,This is my second Kosasport purchase and m loving them.
698,Air Brow Clear Lifting Treatment Gel,$24.00,https://credobeauty.com/products/air-brow-clear-lifting-treatment-gel,No rating,165,Kosas,['all skin'],"['moisture', 'repair', 'anti-aging', 'exfoliating']",60% positive,"No frills, lightweight, keeps brow hairs in place."
699,Revealer Skin Improving Foundation SPF 25,$42.00,https://credobeauty.com/products/revealer-skin-improving-foundation-spf-25,No rating,No reviews,Kosas,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['repair', 'anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'exfoliating']",,
700,DreamBeam Comfy Smooth Sunscreen Broad Spectrum SPF 40,From $22,https://credobeauty.com/products/dreambeam-comfy-smooth-sunscreen-broad-spectrum-spf-40,4.4,107,Kosas,['all skin'],"['repair', 'moisture', 'alcohol', 'exfoliating', 'anti-aging', 'antioxidants', 'sun protection']",100% positive,This is my favorite everyday SPF.
701,Glow I.V. Vitamin-Infused Skin Enhancer,$38.00,https://credobeauty.com/products/glow-i-v-vitamin-infused-skin-enhancer,4.1,27,Kosas,['all skin'],"['moisture', 'alcohol', 'antioxidants']",80% positive,Amazing as a highlighter or just to add some glow.
702,BB Burst Tinted Moisturizer Gel Cream with Copper Peptides,$38.00,https://credobeauty.com/products/bb-burst-tinted-gel-cream,No rating,69,Kosas,['all skin'],"['anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'brightening']",100% positive,BB burst tinted perfect for light coverage.
703,Chemistry AHA Serum Deodorant,$16.00,https://credobeauty.com/products/chemistry-aha-serum-deodorant-serene-clean,4.1,255,Kosas,['all skin'],"['moisture', 'anti-aging', 'exfoliating']",80% positive,Very light scent.
704,Wet Lip Oil Plumping Treatment Gloss,$22.00,https://credobeauty.com/products/wet-lip-oil-gloss,4.6,186,Kosas,['all skin'],"['anti-aging', 'antioxidants', 'sun protection', 'moisture', 'fragrance', 'exfoliating']",,
705,Chemistry AHA Serum Deodorant Beachy Clean,$16.00,https://credobeauty.com/products/chemistry-aha-serum-deodorant-beachy-clean,4.6,85,Kosas,['all skin'],"['moisture', 'fragrance', 'anti-aging', 'exfoliating']",60% positive,This is phenomenal.
706,10-Second Eye Gel Watercolor Eyeshadow,$15.00,https://credobeauty.com/products/10-second-eye-gel-watercolor-eyeshadow,4.2,62,Kosas,"['sensitive skin', 'all skin']","['moisture', 'alcohol']",100% positive,Eye gel eyeshadow goes on easily and stays put.
707,The Big Clean Longwear Volumizing + Lash Care Mascara,From $13,https://credobeauty.com/products/the-big-clean-longwear-volumizing-lash-care-mascara,No rating,No reviews,Kosas,"['sensitive skin', 'all skin']","['repair', 'anti-aging', 'moisture', 'alcohol']",,
708,Wet Stick Moisturizing Lip Shine,$24.00,https://credobeauty.com/products/wet-stick-moisturizing-lip-shine,No rating,No reviews,Kosas,['all skin'],"['repair', 'anti-aging', 'antioxidants', 'sun protection', 'moisture']",,
709,Weightless Lip Color Nourishing Satin Lipstick,$26.00,https://credobeauty.com/products/weightless-lip-color-nourishing-satin-lipstick,4.5,64,Kosas,['all skin'],"['moisture', 'fragrance', 'antioxidants', 'sun protection']",,
710,GrowPotion Fluffy Lash + Brow Boosting Serum,$48.00,https://credobeauty.com/products/growpotion-fluffy-lash-brow-boosting-serum,4.5,20,Kosas,[],"['repair', 'anti-aging', 'moisture', 'alcohol']",100% positive,Nice texture and works well.
711,Brow Pop Nano Ultra-Fine Detailing Pencil,$22.00,https://credobeauty.com/products/brow-pop-nano-ultra-fine-detailing-pencil,4.2,69,Kosas,[],"['moisture', 'antioxidants']",60% positive,This is my favorite eyebrow pencil.
712,Plump + Juicy Vegan Collagen Spray-On Serum,$48.00,https://credobeauty.com/products/plump-juicy-vegan-collagen-spray-on-serum,4.7,19,Kosas,"['sensitive skin', 'all skin']","['moisture', 'alcohol', 'anti-aging']",,
713,Revealer Dual-Ended Makeup Blender,$14.00,https://credobeauty.com/products/revealer-dual-ended-makeup-blender,No rating,No reviews,Kosas,['all skin'],[],,
714,The Sun Show Glowy Warmth Bronzer,$35.00,https://credobeauty.com/products/the-sun-show-glowy-warmth-bronzer,No rating,No reviews,Kosas,['all skin'],"['moisture', 'alcohol', 'antioxidants', 'brightening']",,
715,Plump & Juicy Lip Booster Buttery Treatment,$25.00,https://credobeauty.com/products/plump-juicy-lip-collagen-booster,3.8,13,Kosas,['all skin'],"['moisture', 'anti-aging', 'antioxidants', 'sun protection']",,
716,Ad Astra Nighttime Eye Cream Emulsion,$120.00,https://credobeauty.com/products/ad-astra-nighttime-eye-cream-emulsion,2.8,5,Kypris,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['repair', 'anti-aging', 'sun protection', 'moisture', 'alcohol']",40% positive,Very overpriced when there are sooo many better options at a much lower price point.
717,Puff of Love,$132.00,https://credobeauty.com/products/puff-of-love,3,4,Kypris,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'all skin']","['moisture', 'alcohol', 'fragrance', 'sun protection']",,
718,Cerulean Mask,$168.00,https://credobeauty.com/products/cerulean-mask,5,3,Kypris,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'repair', 'anti-aging']",67% positive,Kypriss Cerulean Mask is always my goto for fighting inflammation.
719,Glow Philtre,$84.00,https://credobeauty.com/products/kypris-glow-philtre,4.8,9,Kypris,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['repair', 'antioxidants', 'sun protection', 'moisture', 'fragrance']",100% positive,Glow Philtre is an effective exfoliator.
720,Beauty Elixir Prismatic Array,From $64,https://credobeauty.com/products/beauty-elixir-prismatic-array,4.8,11,Kypris,"['dry skin', 'normal skin']","['antioxidants', 'sun protection', 'brightening']",,
721,Beauty Elixir II Balancing Flowers,From $72,https://credobeauty.com/products/beauty-elixir-balancing-flowers,5,3,Kypris,"['oily skin', 'normal skin', 'combination skin']","['antioxidants', 'sun protection', 'fragrance', 'brightening']",100% positive,Kyotos beauty elixir II feels like a new face is put on.
722,Kypris Serum: Antioxidant Dew,$90.00,https://credobeauty.com/products/kypris-antioxidant-dew,4.8,58,Kypris,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['repair', 'anti-aging', 'antioxidants', 'sun protection', 'moisture', 'brightening']",80% positive,This is a great serum that I can see working for any type of skin.
723,Tulum Face Oil,$110.00,https://credobeauty.com/products/tulum-face-oil,4,3,Le Paradis,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['fragrance', 'sun protection']",,
724,Bora Bora Candle,$75.00,https://credobeauty.com/products/bora-bora-candle,4.5,2,Le Paradis,[],['fragrance'],100% positive,"Great very nice smell, adds to ambiance smells good not strong enough."
725,Tahiti Body Balm,$70.00,https://credobeauty.com/products/tahiti-body-balm,4.7,6,Le Paradis,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['antioxidants', 'sun protection', 'moisture', 'fragrance']",,
726,Mykonos Watermelon Lip Balm,$24.00,https://credobeauty.com/products/mykonos-watermelon-lip-balm,4.4,8,Le Paradis,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'alcohol', 'fragrance', 'antioxidants']",,
727,The Icon Set,$225.00,https://credobeauty.com/products/the-icon-set,No rating,3,Le Prunier,"['dry skin', 'sensitive skin', 'all skin']","['antioxidants', 'sun protection', 'moisture', 'alcohol']",,
728,The Signature Mini Set,$100.00,https://credobeauty.com/products/the-signature-mini-set,No rating,2,Le Prunier,"['dry skin', 'sensitive skin', 'all skin']","['antioxidants', 'sun protection', 'moisture', 'alcohol']",,
729,Plumbody™ Body Créme,$80.00,https://credobeauty.com/products/plumbody-body-creme,4.8,76,Le Prunier,"['dry skin', 'sensitive skin', 'all skin']","['moisture', 'alcohol']",,
730,Plumscreen SPF 31,$78.00,https://credobeauty.com/products/plumscreen-spf-31,4.3,No reviews,Le Prunier,"['combination skin', 'sensitive skin', 'all skin']","['antioxidants', 'sun protection', 'moisture', 'alcohol']",,
731,Plum Beauty Oil,$72.00,https://credobeauty.com/products/plum-beauty-oil,4.9,1655,Le Prunier,"['sensitive skin', 'all skin']",[],,
732,Glossing Detangler,From $15,https://credobeauty.com/products/glossing-detangler,4.7,1400,LolaVie,['all hair'],"['repair', 'moisture', 'alcohol', 'fragrance', 'exfoliating']",80% positive,This is the ONLY product we standby.
733,Restorative Shampoo,From $15,https://credobeauty.com/products/restorative-shampoo,No rating,No reviews,LolaVie,['all hair'],"['repair', 'anti-aging', 'moisture', 'fragrance', 'exfoliating']",,
734,Restorative Conditioner,From $15,https://credobeauty.com/products/restorative-conditioner,No rating,No reviews,LolaVie,['all hair'],"['repair', 'anti-aging', 'sun protection', 'moisture', 'alcohol', 'fragrance', 'exfoliating']",,
735,Perfecting Leave In,From $15,https://credobeauty.com/products/perfecting-leave-in,No rating,661,LolaVie,['all hair'],"['repair', 'moisture', 'alcohol', 'fragrance', 'exfoliating']",,
736,Restore and Protect Travel Kit,$45.00,https://credobeauty.com/products/restore-and-protect-travel-kit,4.5,45,LolaVie,['all hair'],"['repair', 'moisture', 'alcohol', 'fragrance', 'exfoliating', 'anti-aging', 'sun protection']",,
737,Lightweight Hair Oil,$33.00,https://credobeauty.com/products/lightweight-hair-oil,4.7,164,LolaVie,['all hair'],"['repair', 'sun protection', 'moisture', 'fragrance', 'exfoliating']",100% positive,Hydrates my hair without leaving any residue.
738,Intensive Repair Treatment,$35.00,https://credobeauty.com/products/intensive-repair-treatment,4.8,25,LolaVie,['all hair'],"['repair', 'moisture', 'alcohol', 'fragrance', 'exfoliating']",60% positive,The frizz is gone.
739,Sculpting Paste,$29.00,https://credobeauty.com/products/sculpting-paste,No rating,5,LolaVie,[],"['repair', 'sun protection', 'moisture', 'alcohol', 'fragrance', 'exfoliating']",,
740,Triple Fix Loose Translucent Setting Powder,$24.00,https://credobeauty.com/products/triple-fix-loose-translucent-setting-powder,No rating,No reviews,LYS Beauty,['all skin'],"['moisture', 'anti-aging', 'antioxidants', 'exfoliating']",,
741,Aim High Highlighting Stick,$20.00,https://credobeauty.com/products/aim-high-highlighting-stick,No rating,3,LYS Beauty,['all skin'],['antioxidants'],100% positive,This is a top notch product.
742,Lash Confidence Mascara,$19.00,https://credobeauty.com/products/lash-confidence-mascara,No rating,51,LYS Beauty,"['dry skin', 'oily skin', 'normal skin', 'combination skin']",['moisture'],80% positive,This mascara is excellent and long lasting.
743,Angled Concealer Brush,$15.00,https://credobeauty.com/products/lys-concealer-brush,4.9,49,LYS Beauty,['all skin'],[],100% positive,The angled bristles are great for getting into the area around the eyes or nose.
744,Speak Love Lip Pencil,$15.00,https://credobeauty.com/products/speak-love-lip-pencil,4.7,46,LYS Beauty,"['dry skin', 'all skin']",['moisture'],,
745,Stippling Blush Brush,$15.00,https://credobeauty.com/products/lys-stippling-blush-brush,No rating,No reviews,LYS Beauty,"['sensitive skin', 'all skin']",[],100% positive,"Works so well, great quality for a fair price."
746,Aim High Multi-Use Liquid Highlighter,$19.00,https://credobeauty.com/products/aim-high-multi-use-liquid-highlighter,4.6,14,LYS Beauty,"['dry skin', 'normal skin', 'all skin']",[],80% positive,Very light coverage but looks nice.
747,No Limits Cream Bronzer Stick,$20.00,https://credobeauty.com/products/no-limits-cream-bronzer-stick,4.8,149,LYS Beauty,"['dry skin', 'aging skin', 'all skin']",['antioxidants'],,
748,Speak Love Moisture Matte Lipstick,$20.00,https://credobeauty.com/products/speak-love-moisture-matte-lipstick,No rating,No reviews,LYS Beauty,"['dry skin', 'all skin']","['moisture', 'anti-aging', 'antioxidants', 'sun protection']",,
749,Dome Highlighter Brush,$15.00,https://credobeauty.com/products/lys-highlighter-brush,No rating,17,LYS Beauty,"['sensitive skin', 'all skin']",[],100% positive,"Excellent quality, very soft, love the texture of the handle."
750,Triple Fix Full Coverage Brightening Concealer,$20.00,https://credobeauty.com/products/triple-fix-full-coverage-brightening-concealer,No rating,No reviews,LYS Beauty,"['dry skin', 'normal skin', 'acne-prone skin', 'sensitive skin']","['repair', 'anti-aging', 'antioxidants', 'sun protection', 'moisture', 'exfoliating']",,
751,Higher Standard Satin Matte Cream Blush,$18.00,https://credobeauty.com/products/higher-standard-satin-matte-cream-blush,No rating,160,LYS Beauty,"['dry skin', 'oily skin', 'normal skin', 'combination skin']",['antioxidants'],100% positive,"Creamy, high performance blush."
